matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,runs,dreamll_score
1254063,S Nadeem,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254063,V Kohli,34,0,0.0,4.0,29,0,0,0.0,4.0
1254063,V Shankar,3,0,0.0,0.0,5,0,0,0.0,0.0
1254063,WP Saha,5,0,0.0,1.0,9,0,0,0.0,1.0
1254063,Washington Sundar,8,0,0.0,1.0,11,0,0,0.0,1.0
1254064,AM Rahane,10,0,0.0,1.0,9,0,0,0.0,1.0
1254064,CH Morris,36,0,4.0,0.0,18,0,0,0.0,8.0
1254064,Chris Woakes,15,0,0.0,2.0,11,0,0,0.0,2.0
1254064,DA Miller,62,0,2.0,7.0,43,1,0,22.0,41.0
1254064,JC Buttler,3,0,0.0,0.0,7,0,0,0.0,0.0
1254064,JD Unadkat,11,0,1.0,0.0,7,0,0,0.0,2.0
1254064,K Rabada,9,0,0.0,1.0,4,0,0,0.0,1.0
1254064,L Yadav,21,0,0.0,3.0,25,0,0,0.0,3.0
1254064,M Vohra,10,0,0.0,2.0,11,0,0,0.0,2.0
1254064,MP Stoinis,0,1,0.0,0.0,5,0,0,0.0,-2.0
1254064,PP Shaw,2,0,0.0,0.0,5,0,0,0.0,0.0
1254064,R Ashwin,8,0,0.0,1.0,4,0,0,0.0,1.0
1254064,R Parag,2,0,0.0,0.0,5,0,0,0.0,0.0
1254064,R Tewatia,20,0,0.0,2.0,18,0,0,0.0,2.0
1254064,RR Pant,52,0,0.0,9.0,32,1,0,0.0,17.0
1254064,S Dhawan,9,0,0.0,1.0,11,0,0,0.0,1.0
1254064,S Dube,2,0,0.0,0.0,7,0,0,0.0,0.0
1254064,SV Samson,4,0,0.0,1.0,3,0,0,0.0,1.0
1254064,TK Curran,21,0,0.0,2.0,16,0,0,0.0,2.0
1254065,AS Raut,5,0,0.0,0.0,16,0,0,0.0,0.0
1254065,AT Rayudu,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254065,CH Gayle,10,0,0.0,2.0,10,0,0,0.0,2.0
1254065,DJ Hooda,11,0,0.0,1.0,16,0,0,0.0,1.0
1254065,F du Plessis,41,0,1.0,5.0,33,0,0,15.0,22.0
1254065,Jhye Richardson,16,0,0.0,2.0,23,0,0,0.0,2.0
1254065,KL Rahul,5,0,0.0,1.0,7,0,0,0.0,1.0
1254065,M Ashwin,6,0,0.0,0.0,14,0,0,0.0,0.0
1254065,MA Agarwal,0,1,0.0,0.0,2,0,0,0.0,-2.0
1254065,MM Ali,47,0,1.0,7.0,32,0,0,13.0,22.0
1254065,Mohammed Shami,9,0,0.0,0.0,12,0,0,0.0,0.0
1254065,N Pooran,0,1,0.0,0.0,2,0,0,0.0,-2.0
1254065,SM Curran,5,0,0.0,1.0,4,0,0,0.0,1.0
1254065,Shahrukh Khan,49,0,2.0,4.0,38,0,0,21.0,29.0
1254065,Suresh Raina,9,0,0.0,1.0,10,0,0,0.0,1.0
1254066,A Samad,7,0,0.0,1.0,8,0,0,0.0,1.0
1254066,Abhishek Sharma,2,0,0.0,0.0,4,0,0,0.0,0.0
1254066,DA Warner,38,0,2.0,2.0,34,0,0,18.0,24.0
1254066,HH Pandya,8,0,0.0,1.0,6,0,0,0.0,1.0
1254066,Ishan Kishan,13,0,0.0,0.0,21,0,0,0.0,0.0
1254066,JM Bairstow,44,0,4.0,3.0,22,0,0,8.0,19.0
1254066,KA Pollard,37,0,3.0,1.0,22,0,0,15.0,22.0
1254066,KH Pandya,3,0,0.0,0.0,3,0,0,0.0,0.0
1254066,KK Ahmed,1,0,0.0,0.0,2,0,0,0.0,0.0
1254066,MK Pandey,2,0,0.0,0.0,7,0,0,0.0,0.0
1254066,Mujeeb Ur Rahman,1,0,0.0,0.0,1,0,0,0.0,0.0
1254066,P Kumar,1,0,0.0,0.0,2,0,0,0.0,0.0
1254066,Q de Kock,42,0,0.0,5.0,39,0,0,0.0,5.0
1254066,RG Sharma,37,0,2.0,3.0,25,0,0,13.0,20.0
1254066,Rashid Khan,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254066,SA Yadav,10,0,1.0,1.0,6,0,0,0.0,3.0
1254066,V Pratap Singh,11,0,0.0,1.0,12,0,0,0.0,1.0
1254066,V Shankar,30,0,2.0,0.0,25,0,0,0.0,4.0
1254067,AB de Villiers,78,0,3.0,9.0,34,1,0,24.0,47.0
1254067,AD Russell,32,0,2.0,3.0,20,0,0,8.0,15.0
1254067,Devdutt Padikkal,27,0,0.0,2.0,28,0,0,0.0,2.0
1254067,EJG Morgan,31,0,2.0,1.0,24,0,0,15.0,20.0
1254067,GJ Maxwell,81,0,3.0,9.0,50,1,0,27.0,50.0
1254067,Harbhajan Singh,2,0,0.0,0.0,2,0,0,0.0,0.0
1254067,KD Karthik,2,0,0.0,0.0,5,0,0,0.0,0.0
1254067,Kyle Jamieson,11,0,1.0,1.0,4,0,0,1.0,4.0
1254067,N Rana,18,0,1.0,2.0,11,0,0,4.0,8.0
1254067,PJ Cummins,6,0,1.0,0.0,2,0,0,0.0,2.0
1254067,RA Tripathi,25,0,0.0,5.0,20,0,0,0.0,5.0
1254067,Rajat Patidar,1,0,0.0,0.0,2,0,0,0.0,0.0
1254067,Shakib Al Hasan,26,0,1.0,1.0,25,0,0,16.0,19.0
1254067,Shubman Gill,22,0,2.0,2.0,10,0,0,2.0,8.0
1254067,V Kohli,6,0,0.0,1.0,5,0,0,0.0,1.0
1254067,Varun Chakravarthy,2,0,0.0,0.0,3,0,0,0.0,0.0
1254068,CH Gayle,11,0,1.0,0.0,9,0,0,0.0,2.0
1254068,DJ Hooda,24,0,2.0,0.0,13,0,0,0.0,4.0
1254068,KL Rahul,65,0,2.0,8.0,51,1,0,21.0,41.0
1254068,L Yadav,13,0,0.0,1.0,6,0,0,0.0,1.0
1254068,MA Agarwal,71,0,4.0,6.0,35,1,0,23.0,45.0
1254068,MP Stoinis,28,0,1.0,3.0,12,0,0,10.0,15.0
1254068,N Pooran,9,0,0.0,1.0,8,0,0,0.0,1.0
1254068,PP Shaw,32,0,2.0,3.0,17,0,0,8.0,15.0
1254068,RR Pant,17,0,1.0,0.0,16,0,0,0.0,2.0
1254068,S Dhawan,98,0,2.0,13.0,49,1,0,34.0,59.0
1254068,SPD Smith,10,0,0.0,0.0,12,0,0,0.0,0.0
1254068,Shahrukh Khan,15,0,1.0,2.0,5,0,0,1.0,5.0
1254069,AS Raut,10,0,0.0,1.0,13,0,0,0.0,1.0
1254069,AT Rayudu,29,0,3.0,0.0,17,0,0,0.0,6.0
1254069,CH Morris,0,1,0.0,0.0,2,0,0,0.0,-2.0
1254069,DA Miller,3,0,0.0,0.0,5,0,0,0.0,0.0
1254069,DJ Bravo,22,0,1.0,2.0,8,0,0,8.0,12.0
1254069,F du Plessis,33,0,2.0,4.0,17,0,0,5.0,13.0
1254069,JC Buttler,52,0,1.0,5.0,35,1,0,26.0,41.0
1254069,JD Unadkat,28,0,1.0,2.0,18,0,0,14.0,18.0
1254069,M Vohra,14,0,1.0,1.0,11,0,0,4.0,7.0
1254069,MM Ali,32,0,2.0,2.0,21,0,0,12.0,18.0
1254069,MS Dhoni,18,0,0.0,2.0,17,0,0,0.0,2.0
1254069,Mustafizur Rahman,0,1,0.0,0.0,4,0,0,0.0,-2.0
1254069,R Parag,3,0,0.0,0.0,7,0,0,0.0,0.0
1254069,R Tewatia,21,0,2.0,0.0,15,0,0,0.0,4.0
1254069,RA Jadeja,9,0,0.0,1.0,7,0,0,0.0,1.0
1254069,S Dube,21,0,0.0,2.0,22,0,0,0.0,2.0
1254069,SM Curran,13,0,1.0,0.0,6,0,0,0.0,2.0
1254069,SN Thakur,2,0,0.0,0.0,1,0,0,0.0,0.0
1254069,SV Samson,1,0,0.0,0.0,5,0,0,0.0,0.0
1254069,Suresh Raina,20,0,1.0,1.0,17,0,0,10.0,13.0
1254070,AS Yadav,23,0,0.0,1.0,22,0,0,0.0,1.0
1254070,HH Pandya,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254070,Ishan Kishan,26,0,1.0,1.0,28,0,0,16.0,19.0
1254070,JJ Bumrah,3,0,0.0,0.0,3,0,0,0.0,0.0
1254070,KA Pollard,2,0,0.0,0.0,5,0,0,0.0,0.0
1254070,KH Pandya,1,0,0.0,0.0,5,0,0,0.0,0.0
1254070,L Yadav,26,0,0.0,1.0,26,0,0,0.0,1.0
1254070,PP Shaw,7,0,0.0,1.0,5,0,0,0.0,1.0
1254070,Q de Kock,3,0,0.0,0.0,4,0,0,0.0,0.0
1254070,RD Chahar,6,0,0.0,1.0,6,0,0,0.0,1.0
1254070,RG Sharma,48,0,3.0,4.0,30,0,0,14.0,24.0
1254070,RR Pant,8,0,0.0,1.0,9,0,0,0.0,1.0
1254070,S Dhawan,47,0,1.0,5.0,42,0,0,21.0,28.0
1254070,SA Yadav,24,0,0.0,4.0,15,0,0,0.0,4.0
1254070,SO Hetmyer,15,0,0.0,2.0,8,0,0,0.0,2.0
1254070,SPD Smith,35,0,0.0,4.0,29,0,0,0.0,4.0
1254070,TA Boult,1,0,0.0,0.0,1,0,0,0.0,0.0
1254071,Arshdeep Singh,5,0,0.0,1.0,2,0,0,0.0,1.0
1254071,CH Gayle,15,0,0.0,2.0,17,0,0,0.0,2.0
1254071,DA Warner,40,0,1.0,3.0,38,0,0,22.0,27.0
1254071,DJ Hooda,13,0,0.0,2.0,11,0,0,0.0,2.0
1254071,F Allen,7,0,0.0,0.0,10,0,0,0.0,0.0
1254071,JM Bairstow,64,0,3.0,3.0,57,1,0,34.0,51.0
1254071,KL Rahul,4,0,0.0,0.0,6,0,0,0.0,0.0
1254071,KS Williamson,17,0,0.0,0.0,20,0,0,0.0,0.0
1254071,M Ashwin,9,0,0.0,1.0,10,0,0,0.0,1.0
1254071,MA Agarwal,22,0,0.0,2.0,25,0,0,0.0,2.0
1254071,Mohammed Shami,3,0,0.0,0.0,3,0,0,0.0,0.0
1254071,Moises Henriques,18,0,0.0,1.0,17,0,0,0.0,1.0
1254071,Shahrukh Khan,24,0,2.0,0.0,18,0,0,0.0,4.0
1254072,AD Russell,57,0,6.0,3.0,21,1,0,9.0,32.0
1254072,AS Raut,66,0,4.0,6.0,40,1,0,18.0,40.0
1254072,EJG Morgan,8,0,0.0,1.0,8,0,0,0.0,1.0
1254072,F du Plessis,99,0,4.0,9.0,61,1,0,39.0,64.0
1254072,KD Karthik,40,0,2.0,4.0,24,0,0,12.0,20.0
1254072,Kamlesh Nagarkoti,0,1,0.0,0.0,2,0,0,0.0,-2.0
1254072,M Prasidh Krishna,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254072,MM Ali,30,0,2.0,2.0,13,0,0,10.0,16.0
1254072,MS Dhoni,19,0,1.0,2.0,9,0,0,5.0,9.0
1254072,N Rana,11,0,0.0,2.0,12,0,0,0.0,2.0
1254072,PJ Cummins,74,0,6.0,5.0,34,1,0,18.0,43.0
1254072,RA Jadeja,6,0,1.0,0.0,1,0,0,0.0,2.0
1254072,RA Tripathi,8,0,0.0,1.0,9,0,0,0.0,1.0
1254072,SP Narine,4,0,0.0,1.0,3,0,0,0.0,1.0
1254072,Shubman Gill,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254072,Varun Chakravarthy,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254073,CH Morris,13,0,1.0,0.0,9,0,0,0.0,2.0
1254073,Chetan Sakariya,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254073,DA Miller,0,1,0.0,0.0,2,0,0,0.0,-2.0
1254073,Devdutt Padikkal,109,0,6.0,11.0,54,1,1,29.0,76.0
1254073,JC Buttler,8,0,0.0,2.0,8,0,0,0.0,2.0
1254073,M Vohra,7,0,0.0,1.0,9,0,0,0.0,1.0
1254073,R Parag,25,0,0.0,4.0,16,0,0,0.0,4.0
1254073,R Tewatia,42,0,2.0,4.0,23,0,0,14.0,22.0
1254073,S Dube,53,0,2.0,6.0,32,1,0,17.0,35.0
1254073,S Gopal,7,0,1.0,0.0,4,0,0,0.0,2.0
1254073,SV Samson,22,0,1.0,2.0,18,0,0,8.0,12.0
1254073,V Kohli,72,0,3.0,6.0,47,1,0,30.0,50.0
1254074,CH Gayle,46,0,2.0,5.0,36,0,0,14.0,23.0
1254074,HH Pandya,2,0,0.0,0.0,4,0,0,0.0,0.0
1254074,Ishan Kishan,6,0,0.0,0.0,17,0,0,0.0,0.0
1254074,KA Pollard,20,0,1.0,1.0,12,0,0,10.0,13.0
1254074,KH Pandya,3,0,0.0,0.0,3,0,0,0.0,0.0
1254074,KL Rahul,60,0,3.0,3.0,52,1,0,30.0,47.0
1254074,MA Agarwal,26,0,1.0,3.0,19,0,0,8.0,13.0
1254074,Q de Kock,3,0,0.0,0.0,5,0,0,0.0,0.0
1254074,RG Sharma,63,0,2.0,5.0,52,1,0,31.0,48.0
1254074,SA Yadav,34,0,1.0,3.0,28,0,0,16.0,21.0
1254075,AD Russell,13,0,1.0,0.0,8,0,0,0.0,2.0
1254075,DA Miller,26,0,0.0,3.0,24,0,0,0.0,3.0
1254075,JC Buttler,7,0,0.0,1.0,7,0,0,0.0,1.0
1254075,KD Karthik,26,0,0.0,4.0,24,0,0,0.0,4.0
1254075,N Rana,24,0,1.0,1.0,26,0,0,14.0,17.0
1254075,PJ Cummins,11,0,1.0,0.0,6,0,0,0.0,2.0
1254075,R Tewatia,6,0,0.0,0.0,8,0,0,0.0,0.0
1254075,RA Tripathi,37,0,2.0,1.0,26,0,0,21.0,26.0
1254075,S Dube,23,0,1.0,2.0,19,0,0,9.0,13.0
1254075,SP Narine,6,0,0.0,1.0,7,0,0,0.0,1.0
1254075,SV Samson,50,0,1.0,2.0,42,1,0,36.0,48.0
1254075,Shivam Mavi,5,0,0.0,1.0,7,0,0,0.0,1.0
1254075,Shubman Gill,11,0,0.0,1.0,19,0,0,0.0,1.0
1254075,Yashasvi Jaiswal,22,0,0.0,5.0,17,0,0,0.0,5.0
1254076,AB de Villiers,4,0,0.0,0.0,9,0,0,0.0,0.0
1254076,AS Raut,35,0,1.0,4.0,26,0,0,13.0,19.0
1254076,AT Rayudu,14,0,1.0,1.0,7,0,0,4.0,7.0
1254076,Dan Christian,1,0,0.0,0.0,3,0,0,0.0,0.0
1254076,Devdutt Padikkal,36,0,2.0,4.0,16,0,0,8.0,16.0
1254076,F du Plessis,51,0,1.0,5.0,42,1,0,25.0,40.0
1254076,GJ Maxwell,22,0,0.0,3.0,15,0,0,0.0,3.0
1254076,HV Patel,1,0,0.0,0.0,8,0,0,0.0,0.0
1254076,Kyle Jamieson,16,0,1.0,1.0,13,0,0,6.0,9.0
1254076,M Siraj,12,0,1.0,0.0,14,0,0,0.0,2.0
1254076,MS Dhoni,2,0,0.0,0.0,3,0,0,0.0,0.0
1254076,NA Saini,3,0,0.0,0.0,5,0,0,0.0,0.0
1254076,RA Jadeja,64,0,4.0,4.0,28,1,0,24.0,44.0
1254076,Suresh Raina,25,0,3.0,1.0,18,0,0,3.0,10.0
1254076,V Kohli,10,0,0.0,1.0,8,0,0,0.0,1.0
1254076,Washington Sundar,9,0,0.0,1.0,11,0,0,0.0,1.0
1254076,YS Chahal,8,0,0.0,0.0,21,0,0,0.0,0.0
1254077,Abhishek Sharma,6,0,0.0,0.0,6,0,0,0.0,0.0
1254077,DA Warner,6,0,0.0,0.0,8,0,0,0.0,0.0
1254077,J Suchith,16,0,1.0,2.0,6,0,0,2.0,6.0
1254077,JM Bairstow,38,0,4.0,3.0,18,0,0,2.0,13.0
1254077,KM Jadhav,10,0,0.0,1.0,10,0,0,0.0,1.0
1254077,KS Williamson,70,0,0.0,8.0,53,1,0,0.0,16.0
1254077,MP Stoinis,2,0,0.0,0.0,2,0,0,0.0,0.0
1254077,PP Shaw,54,0,1.0,7.0,39,1,0,20.0,37.0
1254077,RR Pant,38,0,1.0,4.0,27,0,0,16.0,22.0
1254077,Rashid Khan,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254077,S Dhawan,29,0,0.0,3.0,26,0,0,0.0,3.0
1254077,SO Hetmyer,1,0,0.0,0.0,2,0,0,0.0,0.0
1254077,SPD Smith,35,0,1.0,3.0,25,0,0,17.0,22.0
1254077,V Pratap Singh,5,0,0.0,0.0,14,0,0,0.0,0.0
1254077,V Shankar,8,0,0.0,0.0,7,0,0,0.0,0.0
1254078,AD Russell,10,0,0.0,2.0,9,0,0,0.0,2.0
1254078,Arshdeep Singh,1,0,0.0,0.0,1,0,0,0.0,0.0
1254078,CH Gayle,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254078,CJ Jordan,30,0,3.0,1.0,18,0,0,8.0,15.0
1254078,DJ Hooda,2,0,0.0,0.0,5,0,0,0.0,0.0
1254078,EJG Morgan,47,0,2.0,4.0,40,0,0,19.0,27.0
1254078,KD Karthik,12,0,0.0,2.0,6,0,0,0.0,2.0
1254078,KL Rahul,19,0,1.0,2.0,20,0,0,5.0,9.0
1254078,MA Agarwal,34,0,2.0,1.0,35,0,0,18.0,23.0
1254078,Mohammed Shami,1,0,0.0,0.0,2,0,0,0.0,0.0
1254078,Moises Henriques,2,0,0.0,0.0,3,0,0,0.0,0.0
1254078,N Pooran,19,0,1.0,1.0,19,0,0,9.0,12.0
1254078,N Rana,0,1,0.0,0.0,1,0,0,0.0,-2.0
1254078,R Bishnoi,2,0,0.0,0.0,4,0,0,0.0,0.0
1254078,RA Tripathi,46,0,0.0,8.0,32,0,0,0.0,8.0
1254078,SP Narine,2,0,0.0,0.0,5,0,0,0.0,0.0
1254078,Shahrukh Khan,13,0,1.0,0.0,14,0,0,0.0,2.0
1254078,Shubman Gill,9,0,0.0,2.0,8,0,0,0.0,2.0
1254079,AB de Villiers,76,0,5.0,3.0,43,1,0,34.0,55.0
1254079,D Sams,3,0,0.0,0.0,2,0,0,0.0,0.0
1254079,Devdutt Padikkal,17,0,0.0,3.0,14,0,0,0.0,3.0
1254079,GJ Maxwell,25,0,2.0,1.0,20,0,0,9.0,14.0
1254079,MP Stoinis,22,0,0.0,3.0,17,0,0,0.0,3.0
1254079,PP Shaw,25,0,0.0,4.0,18,0,0,0.0,4.0
1254079,RR Pant,60,0,0.0,6.0,48,1,0,0.0,14.0
1254079,Rajat Patidar,31,0,2.0,0.0,22,0,0,0.0,4.0
1254079,S Dhawan,6,0,0.0,1.0,7,0,0,0.0,1.0
1254079,SO Hetmyer,53,0,4.0,2.0,25,1,0,21.0,39.0
1254079,SPD Smith,4,0,0.0,1.0,5,0,0,0.0,1.0
1254079,V Kohli,13,0,0.0,2.0,11,0,0,0.0,2.0
1254079,Washington Sundar,6,0,0.0,0.0,9,0,0,0.0,0.0
1254080,AS Raut,76,0,0.0,12.0,45,1,0,0.0,20.0
1254080,DA Warner,61,0,2.0,3.0,57,1,0,37.0,52.0
1254080,F du Plessis,56,0,1.0,6.0,38,1,0,26.0,42.0
1254080,JM Bairstow,8,0,0.0,1.0,6,0,0,0.0,1.0
1254080,KM Jadhav,12,0,1.0,1.0,4,0,0,2.0,5.0
1254080,KS Williamson,26,0,1.0,4.0,10,0,0,4.0,10.0
1254080,MK Pandey,64,0,1.0,5.0,46,1,0,38.0,53.0
1254080,MM Ali,16,0,0.0,3.0,9,0,0,0.0,3.0
1254080,RA Jadeja,8,0,0.0,1.0,6,0,0,0.0,1.0
1254080,Suresh Raina,17,0,0.0,3.0,15,0,0,0.0,3.0
1254081,DA Miller,7,0,0.0,1.0,4,0,0,0.0,1.0
1254081,JC Buttler,43,0,3.0,3.0,32,0,0,13.0,22.0
1254081,KA Pollard,20,0,1.0,3.0,8,0,0,2.0,7.0
1254081,KH Pandya,41,0,2.0,2.0,27,0,0,21.0,27.0
1254081,Q de Kock,80,0,2.0,8.0,50,1,0,36.0,56.0
1254081,R Parag,9,0,0.0,1.0,6,0,0,0.0,1.0
1254081,RG Sharma,15,0,1.0,0.0,17,0,0,0.0,2.0
1254081,S Dube,37,0,2.0,2.0,31,0,0,17.0,23.0
1254081,SA Yadav,16,0,0.0,3.0,10,0,0,0.0,3.0
1254081,SV Samson,43,0,0.0,5.0,28,0,0,0.0,5.0
1254081,Yashasvi Jaiswal,32,0,2.0,2.0,20,0,0,12.0,18.0
1254082,AD Russell,45,0,4.0,2.0,27,0,0,13.0,23.0
1254082,EJG Morgan,1,0,0.0,0.0,2,0,0,0.0,0.0
1254082,KD Karthik,14,0,1.0,1.0,10,0,0,4.0,7.0
1254082,MP Stoinis,6,0,0.0,1.0,3,0,0,0.0,1.0
1254082,N Rana,15,0,1.0,1.0,12,0,0,5.0,8.0
1254082,PJ Cummins,16,0,0.0,2.0,14,0,0,0.0,2.0
1254082,PP Shaw,86,0,3.0,11.0,42,1,0,24.0,49.0
1254082,RA Tripathi,19,0,0.0,2.0,17,0,0,0.0,2.0
