,battingteam,bowlingteam,matchid,batsmanname,SR
188,Kolkata Knight Riders,Delhi Capitals,1254092,EJG Morgan,0.0
189,Kolkata Knight Riders,Delhi Capitals,1254092,KD Karthik,85.71428571428571
192,Kolkata Knight Riders,Delhi Capitals,1254092,SP Narine,210.0
191,Kolkata Knight Riders,Delhi Capitals,1254092,RA Tripathi,180.0
99,Delhi Capitals,Kolkata Knight Riders,1254092,SO Hetmyer,80.0
190,Kolkata Knight Riders,Delhi Capitals,1254092,N Rana,148.14814814814815
205,Kolkata Knight Riders,Mumbai Indians,1254096,EJG Morgan,87.5
306,Mumbai Indians,Kolkata Knight Riders,1254096,Adam Milne,100.0
307,Mumbai Indians,Kolkata Knight Riders,1254096,Ishan Kishan,115.38461538461536
308,Mumbai Indians,Kolkata Knight Riders,1254096,KA Pollard,160.0
309,Mumbai Indians,Kolkata Knight Riders,1254096,KH Pandya,133.33333333333331
312,Mumbai Indians,Kolkata Knight Riders,1254096,SA Yadav,60.0
206,Kolkata Knight Riders,Mumbai Indians,1254096,N Rana,250.0
208,Kolkata Knight Riders,Mumbai Indians,1254096,Shubman Gill,144.44444444444443
209,Kolkata Knight Riders,Mumbai Indians,1254096,Venkatesh Iyer,184.375
313,Mumbai Indians,Kolkata Knight Riders,1254096,SS Tiwary,250.0
310,Mumbai Indians,Kolkata Knight Riders,1254096,Q de Kock,135.71428571428572
207,Kolkata Knight Riders,Mumbai Indians,1254096,RA Tripathi,178.57142857142858
311,Mumbai Indians,Kolkata Knight Riders,1254096,RG Sharma,112.90322580645164
480,Rajasthan Royals,Delhi Capitals,1254097,DA Miller,70.0
487,Rajasthan Royals,Delhi Capitals,1254097,Yashasvi Jaiswal,125.0
144,Delhi Capitals,Rajasthan Royals,1254097,SS Iyer,140.625
485,Rajasthan Royals,Delhi Capitals,1254097,SV Samson,138.1818181818182
484,Rajasthan Royals,Delhi Capitals,1254097,R Tewatia,60.0
482,Rajasthan Royals,Delhi Capitals,1254097,MK Lomror,79.16666666666666
481,Rajasthan Royals,Delhi Capitals,1254097,Liam Livingstone,33.33333333333333
486,Rajasthan Royals,Delhi Capitals,1254097,Tabraiz Shamsi,50.0
138,Delhi Capitals,Rajasthan Royals,1254097,L Yadav,100.0
139,Delhi Capitals,Rajasthan Royals,1254097,PP Shaw,83.33333333333334
140,Delhi Capitals,Rajasthan Royals,1254097,R Ashwin,133.33333333333331
141,Delhi Capitals,Rajasthan Royals,1254097,RR Pant,100.0
142,Delhi Capitals,Rajasthan Royals,1254097,S Dhawan,100.0
143,Delhi Capitals,Rajasthan Royals,1254097,SO Hetmyer,170.58823529411765
137,Delhi Capitals,Rajasthan Royals,1254097,AR Patel,187.5
483,Rajasthan Royals,Delhi Capitals,1254097,R Parag,28.57142857142857
177,Kolkata Knight Riders,Chennai Super Kings,1254098,SP Narine,100.0
16,Chennai Super Kings,Kolkata Knight Riders,1254098,F du Plessis,146.66666666666666
17,Chennai Super Kings,Kolkata Knight Riders,1254098,MM Ali,113.79310344827589
19,Chennai Super Kings,Kolkata Knight Riders,1254098,RA Jadeja,275.0
20,Chennai Super Kings,Kolkata Knight Riders,1254098,SM Curran,100.0
178,Kolkata Knight Riders,Chennai Super Kings,1254098,Shubman Gill,180.0
22,Chennai Super Kings,Kolkata Knight Riders,1254098,Suresh Raina,171.42857142857142
179,Kolkata Knight Riders,Chennai Super Kings,1254098,Venkatesh Iyer,118.75
18,Chennai Super Kings,Kolkata Knight Riders,1254098,MS Dhoni,50.0
21,Chennai Super Kings,Kolkata Knight Riders,1254098,SN Thakur,150.0
176,Kolkata Knight Riders,Chennai Super Kings,1254098,RA Tripathi,139.3939393939394
13,Chennai Super Kings,Kolkata Knight Riders,1254098,AS Raut,142.85714285714286
14,Chennai Super Kings,Kolkata Knight Riders,1254098,AT Rayudu,110.0
15,Chennai Super Kings,Kolkata Knight Riders,1254098,DL Chahar,100.0
173,Kolkata Knight Riders,Chennai Super Kings,1254098,EJG Morgan,57.14285714285714
174,Kolkata Knight Riders,Chennai Super Kings,1254098,KD Karthik,245.45454545454547
175,Kolkata Knight Riders,Chennai Super Kings,1254098,N Rana,141.3793103448276
172,Kolkata Knight Riders,Chennai Super Kings,1254098,AD Russell,133.33333333333331
404,Punjab Kings,Mumbai Indians,1254099,DJ Hooda,111.53846153846156
407,Punjab Kings,Mumbai Indians,1254099,Mandeep Singh,114.28571428571428
