,battingteam,bowlingteam,matchid,batsmanname,SR
337,Mumbai Indians,Royal Challengers Bangalore,1254058,KH Pandya,114.28571428571428
334,Mumbai Indians,Royal Challengers Bangalore,1254058,Ishan Kishan,145.0
333,Mumbai Indians,Royal Challengers Bangalore,1254058,HH Pandya,130.0
332,Mumbai Indians,Royal Challengers Bangalore,1254058,CA Lynn,142.85714285714286
601,Royal Challengers Bangalore,Mumbai Indians,1254058,Washington Sundar,106.66666666666669
600,Royal Challengers Bangalore,Mumbai Indians,1254058,V Kohli,117.2413793103448
599,Royal Challengers Bangalore,Mumbai Indians,1254058,S Ahmed,66.66666666666666
598,Royal Challengers Bangalore,Mumbai Indians,1254058,Rajat Patidar,112.5
597,Royal Challengers Bangalore,Mumbai Indians,1254058,M Siraj,100.0
596,Royal Challengers Bangalore,Mumbai Indians,1254058,Kyle Jamieson,100.0
595,Royal Challengers Bangalore,Mumbai Indians,1254058,HV Patel,133.33333333333331
594,Royal Challengers Bangalore,Mumbai Indians,1254058,GJ Maxwell,141.3793103448276
593,Royal Challengers Bangalore,Mumbai Indians,1254058,Dan Christian,33.33333333333333
592,Royal Challengers Bangalore,Mumbai Indians,1254058,AB de Villiers,177.77777777777777
335,Mumbai Indians,Royal Challengers Bangalore,1254058,JJ Bumrah,50.0
336,Mumbai Indians,Royal Challengers Bangalore,1254058,KA Pollard,77.77777777777779
339,Mumbai Indians,Royal Challengers Bangalore,1254058,RG Sharma,126.66666666666666
340,Mumbai Indians,Royal Challengers Bangalore,1254058,SA Yadav,139.1304347826087
338,Mumbai Indians,Royal Challengers Bangalore,1254058,Marco Jansen,0.0
6,Chennai Super Kings,Delhi Capitals,1254059,SM Curran,218.75
83,Delhi Capitals,Chennai Super Kings,1254059,MP Stoinis,166.66666666666669
84,Delhi Capitals,Chennai Super Kings,1254059,PP Shaw,189.4736842105263
85,Delhi Capitals,Chennai Super Kings,1254059,RR Pant,123.07692307692308
86,Delhi Capitals,Chennai Super Kings,1254059,S Dhawan,161.11111111111111
7,Chennai Super Kings,Delhi Capitals,1254059,Suresh Raina,152.77777777777777
4,Chennai Super Kings,Delhi Capitals,1254059,MS Dhoni,0.0
3,Chennai Super Kings,Delhi Capitals,1254059,MM Ali,150.0
2,Chennai Super Kings,Delhi Capitals,1254059,F du Plessis,0.0
1,Chennai Super Kings,Delhi Capitals,1254059,AT Rayudu,175.0
0,Chennai Super Kings,Delhi Capitals,1254059,AS Raut,77.77777777777779
5,Chennai Super Kings,Delhi Capitals,1254059,RA Jadeja,158.8235294117647
677,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,DA Warner,75.0
250,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,Shakib Al Hasan,66.66666666666666
682,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,WP Saha,116.66666666666669
249,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,RA Tripathi,182.7586206896552
676,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,A Samad,237.5
678,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,JM Bairstow,136.58536585365854
679,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,M Nabi,154.54545454545453
680,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,MK Pandey,136.95652173913044
251,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,Shubman Gill,115.38461538461536
248,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,N Rana,142.85714285714286
247,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,KD Karthik,255.55555555555557
245,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,AD Russell,166.66666666666669
246,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,EJG Morgan,66.66666666666666
681,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,V Shankar,171.42857142857142
416,Punjab Kings,Rajasthan Royals,1254061,Shahrukh Khan,150.0
412,Punjab Kings,Rajasthan Royals,1254061,Jhye Richardson,0.0
413,Punjab Kings,Rajasthan Royals,1254061,KL Rahul,188.0
410,Punjab Kings,Rajasthan Royals,1254061,CH Gayle,141.3793103448276
411,Punjab Kings,Rajasthan Royals,1254061,DJ Hooda,240.74074074074076
414,Punjab Kings,Rajasthan Royals,1254061,MA Agarwal,150.0
506,Rajasthan Royals,Punjab Kings,1254061,S Dube,153.33333333333334
501,Rajasthan Royals,Punjab Kings,1254061,CH Morris,50.0
505,Rajasthan Royals,Punjab Kings,1254061,R Tewatia,75.0
504,Rajasthan Royals,Punjab Kings,1254061,R Parag,216.66666666666663
507,Rajasthan Royals,Punjab Kings,1254061,SV Samson,193.75
503,Rajasthan Royals,Punjab Kings,1254061,M Vohra,144.44444444444443
502,Rajasthan Royals,Punjab Kings,1254061,JC Buttler,200.0
500,Rajasthan Royals,Punjab Kings,1254061,BA Stokes,0.0
415,Punjab Kings,Rajasthan Royals,1254061,N Pooran,0.0
296,Mumbai Indians,Kolkata Knight Riders,1254062,HH Pandya,88.23529411764706
198,Kolkata Knight Riders,Mumbai Indians,1254062,Harbhajan Singh,100.0
299,Mumbai Indians,Kolkata Knight Riders,1254062,KA Pollard,62.5
199,Kolkata Knight Riders,Mumbai Indians,1254062,KD Karthik,72.72727272727273
201,Kolkata Knight Riders,Mumbai Indians,1254062,PJ Cummins,0.0
202,Kolkata Knight Riders,Mumbai Indians,1254062,RA Tripathi,100.0
203,Kolkata Knight Riders,Mumbai Indians,1254062,Shakib Al Hasan,144.44444444444443
204,Kolkata Knight Riders,Mumbai Indians,1254062,Shubman Gill,137.5
297,Mumbai Indians,Kolkata Knight Riders,1254062,Ishan Kishan,33.33333333333333
303,Mumbai Indians,Kolkata Knight Riders,1254062,RD Chahar,114.28571428571428
300,Mumbai Indians,Kolkata Knight Riders,1254062,KH Pandya,211.11111111111111
302,Mumbai Indians,Kolkata Knight Riders,1254062,Q de Kock,33.33333333333333
197,Kolkata Knight Riders,Mumbai Indians,1254062,EJG Morgan,100.0
301,Mumbai Indians,Kolkata Knight Riders,1254062,Marco Jansen,50.0
196,Kolkata Knight Riders,Mumbai Indians,1254062,AD Russell,71.42857142857143
305,Mumbai Indians,Kolkata Knight Riders,1254062,SA Yadav,156.75675675675674
304,Mumbai Indians,Kolkata Knight Riders,1254062,RG Sharma,134.375
298,Mumbai Indians,Kolkata Knight Riders,1254062,JJ Bumrah,0.0
200,Kolkata Knight Riders,Mumbai Indians,1254062,N Rana,133.33333333333331
635,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,AB de Villiers,20.0
736,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,P Kumar,100.0
640,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,S Ahmed,150.0
739,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,V Shankar,60.0
639,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,Kyle Jamieson,144.44444444444443
636,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,Dan Christian,50.0
638,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,GJ Maxwell,152.38095238095238
737,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,Rashid Khan,225.0
637,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,Devdutt Padikkal,100.0
734,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,JO Holder,100.0
731,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,A Samad,0.0
642,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,Washington Sundar,72.72727272727273
641,Royal Challengers Bangalore,Sunrisers Hyderabad,1254063,V Kohli,117.2413793103448
732,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,DA Warner,143.5897435897436
735,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,MK Pandey,102.56410256410255
740,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,WP Saha,55.55555555555556
738,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,S Nadeem,0.0
733,Sunrisers Hyderabad,Royal Challengers Bangalore,1254063,JM Bairstow,107.6923076923077
127,Delhi Capitals,Rajasthan Royals,1254064,AM Rahane,111.11111111111111
129,Delhi Capitals,Rajasthan Royals,1254064,K Rabada,225.0
133,Delhi Capitals,Rajasthan Royals,1254064,R Ashwin,200.0
131,Delhi Capitals,Rajasthan Royals,1254064,MP Stoinis,0.0
132,Delhi Capitals,Rajasthan Royals,1254064,PP Shaw,40.0
134,Delhi Capitals,Rajasthan Royals,1254064,RR Pant,162.5
135,Delhi Capitals,Rajasthan Royals,1254064,S Dhawan,81.81818181818183
136,Delhi Capitals,Rajasthan Royals,1254064,TK Curran,131.25
479,Rajasthan Royals,Delhi Capitals,1254064,SV Samson,133.33333333333331
130,Delhi Capitals,Rajasthan Royals,1254064,L Yadav,84.0
474,Rajasthan Royals,Delhi Capitals,1254064,JD Unadkat,157.14285714285714
475,Rajasthan Royals,Delhi Capitals,1254064,M Vohra,90.9090909090909
476,Rajasthan Royals,Delhi Capitals,1254064,R Parag,40.0
477,Rajasthan Royals,Delhi Capitals,1254064,R Tewatia,111.11111111111111
478,Rajasthan Royals,Delhi Capitals,1254064,S Dube,28.57142857142857
472,Rajasthan Royals,Delhi Capitals,1254064,DA Miller,144.1860465116279
128,Delhi Capitals,Rajasthan Royals,1254064,Chris Woakes,136.36363636363637
473,Rajasthan Royals,Delhi Capitals,1254064,JC Buttler,42.85714285714285
471,Rajasthan Royals,Delhi Capitals,1254064,CH Morris,200.0
363,Punjab Kings,Chennai Super Kings,1254065,M Ashwin,42.85714285714285
359,Punjab Kings,Chennai Super Kings,1254065,CH Gayle,100.0
40,Chennai Super Kings,Punjab Kings,1254065,F du Plessis,124.24242424242424
38,Chennai Super Kings,Punjab Kings,1254065,AS Raut,31.25
360,Punjab Kings,Chennai Super Kings,1254065,DJ Hooda,68.75
361,Punjab Kings,Chennai Super Kings,1254065,Jhye Richardson,69.56521739130434
39,Chennai Super Kings,Punjab Kings,1254065,AT Rayudu,0.0
364,Punjab Kings,Chennai Super Kings,1254065,MA Agarwal,0.0
41,Chennai Super Kings,Punjab Kings,1254065,MM Ali,146.875
42,Chennai Super Kings,Punjab Kings,1254065,SM Curran,125.0
365,Punjab Kings,Chennai Super Kings,1254065,Mohammed Shami,75.0
366,Punjab Kings,Chennai Super Kings,1254065,N Pooran,0.0
367,Punjab Kings,Chennai Super Kings,1254065,Shahrukh Khan,128.94736842105263
43,Chennai Super Kings,Punjab Kings,1254065,Suresh Raina,90.0
362,Punjab Kings,Chennai Super Kings,1254065,KL Rahul,71.42857142857143
700,Sunrisers Hyderabad,Mumbai Indians,1254066,P Kumar,50.0
701,Sunrisers Hyderabad,Mumbai Indians,1254066,Rashid Khan,0.0
698,Sunrisers Hyderabad,Mumbai Indians,1254066,MK Pandey,28.57142857142857
699,Sunrisers Hyderabad,Mumbai Indians,1254066,Mujeeb Ur Rahman,100.0
702,Sunrisers Hyderabad,Mumbai Indians,1254066,V Pratap Singh,91.66666666666666
693,Sunrisers Hyderabad,Mumbai Indians,1254066,A Samad,87.5
694,Sunrisers Hyderabad,Mumbai Indians,1254066,Abhishek Sharma,50.0
703,Sunrisers Hyderabad,Mumbai Indians,1254066,V Shankar,120.0
695,Sunrisers Hyderabad,Mumbai Indians,1254066,DA Warner,111.76470588235294
353,Mumbai Indians,Sunrisers Hyderabad,1254066,Ishan Kishan,61.90476190476191
352,Mumbai Indians,Sunrisers Hyderabad,1254066,HH Pandya,133.33333333333331
354,Mumbai Indians,Sunrisers Hyderabad,1254066,KA Pollard,168.1818181818182
355,Mumbai Indians,Sunrisers Hyderabad,1254066,KH Pandya,100.0
357,Mumbai Indians,Sunrisers Hyderabad,1254066,RG Sharma,148.0
356,Mumbai Indians,Sunrisers Hyderabad,1254066,Q de Kock,107.6923076923077
696,Sunrisers Hyderabad,Mumbai Indians,1254066,JM Bairstow,200.0
358,Mumbai Indians,Sunrisers Hyderabad,1254066,SA Yadav,166.66666666666669
697,Sunrisers Hyderabad,Mumbai Indians,1254066,KK Ahmed,50.0
240,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,Shakib Al Hasan,104.0
233,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,AD Russell,160.0
234,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,EJG Morgan,129.16666666666669
235,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,Harbhajan Singh,100.0
236,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,KD Karthik,40.0
237,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,N Rana,163.63636363636363
238,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,PJ Cummins,300.0
575,Royal Challengers Bangalore,Kolkata Knight Riders,1254067,AB de Villiers,229.41176470588235
241,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,Shubman Gill,220.00000000000003
242,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,Varun Chakravarthy,66.66666666666666
580,Royal Challengers Bangalore,Kolkata Knight Riders,1254067,V Kohli,120.0
579,Royal Challengers Bangalore,Kolkata Knight Riders,1254067,Rajat Patidar,50.0
578,Royal Challengers Bangalore,Kolkata Knight Riders,1254067,Kyle Jamieson,275.0
576,Royal Challengers Bangalore,Kolkata Knight Riders,1254067,Devdutt Padikkal,96.42857142857144
577,Royal Challengers Bangalore,Kolkata Knight Riders,1254067,GJ Maxwell,162.0
239,Kolkata Knight Riders,Royal Challengers Bangalore,1254067,RA Tripathi,125.0
370,Punjab Kings,Delhi Capitals,1254068,KL Rahul,127.45098039215684
371,Punjab Kings,Delhi Capitals,1254068,MA Agarwal,202.85714285714283
369,Punjab Kings,Delhi Capitals,1254068,DJ Hooda,184.6153846153846
368,Punjab Kings,Delhi Capitals,1254068,CH Gayle,122.22222222222224
372,Punjab Kings,Delhi Capitals,1254068,N Pooran,112.5
373,Punjab Kings,Delhi Capitals,1254068,Shahrukh Khan,300.0
116,Delhi Capitals,Punjab Kings,1254068,L Yadav,216.66666666666663
117,Delhi Capitals,Punjab Kings,1254068,MP Stoinis,233.33333333333331
118,Delhi Capitals,Punjab Kings,1254068,PP Shaw,188.23529411764704
119,Delhi Capitals,Punjab Kings,1254068,RR Pant,106.25
120,Delhi Capitals,Punjab Kings,1254068,S Dhawan,200.0
121,Delhi Capitals,Punjab Kings,1254068,SPD Smith,83.33333333333334
47,Chennai Super Kings,Rajasthan Royals,1254069,F du Plessis,194.11764705882356
49,Chennai Super Kings,Rajasthan Royals,1254069,MS Dhoni,105.88235294117648
46,Chennai Super Kings,Rajasthan Royals,1254069,DJ Bravo,275.0
456,Rajasthan Royals,Chennai Super Kings,1254069,CH Morris,0.0
457,Rajasthan Royals,Chennai Super Kings,1254069,DA Miller,60.0
461,Rajasthan Royals,Chennai Super Kings,1254069,Mustafizur Rahman,0.0
462,Rajasthan Royals,Chennai Super Kings,1254069,R Parag,42.85714285714285
459,Rajasthan Royals,Chennai Super Kings,1254069,JD Unadkat,155.55555555555557
460,Rajasthan Royals,Chennai Super Kings,1254069,M Vohra,127.27272727272728
48,Chennai Super Kings,Rajasthan Royals,1254069,MM Ali,152.38095238095238
458,Rajasthan Royals,Chennai Super Kings,1254069,JC Buttler,148.57142857142858
50,Chennai Super Kings,Rajasthan Royals,1254069,RA Jadeja,128.57142857142858
464,Rajasthan Royals,Chennai Super Kings,1254069,S Dube,95.45454545454544
53,Chennai Super Kings,Rajasthan Royals,1254069,Suresh Raina,117.64705882352942
52,Chennai Super Kings,Rajasthan Royals,1254069,SN Thakur,200.0
44,Chennai Super Kings,Rajasthan Royals,1254069,AS Raut,76.92307692307693
51,Chennai Super Kings,Rajasthan Royals,1254069,SM Curran,216.66666666666663
463,Rajasthan Royals,Chennai Super Kings,1254069,R Tewatia,140.0
45,Chennai Super Kings,Rajasthan Royals,1254069,AT Rayudu,170.58823529411765
465,Rajasthan Royals,Chennai Super Kings,1254069,SV Samson,20.0
280,Mumbai Indians,Delhi Capitals,1254070,KH Pandya,20.0
279,Mumbai Indians,Delhi Capitals,1254070,KA Pollard,40.0
276,Mumbai Indians,Delhi Capitals,1254070,HH Pandya,0.0
284,Mumbai Indians,Delhi Capitals,1254070,SA Yadav,160.0
283,Mumbai Indians,Delhi Capitals,1254070,RG Sharma,160.0
282,Mumbai Indians,Delhi Capitals,1254070,RD Chahar,100.0
281,Mumbai Indians,Delhi Capitals,1254070,Q de Kock,75.0
104,Delhi Capitals,Mumbai Indians,1254070,RR Pant,88.88888888888889
285,Mumbai Indians,Delhi Capitals,1254070,TA Boult,100.0
107,Delhi Capitals,Mumbai Indians,1254070,SPD Smith,120.6896551724138
275,Mumbai Indians,Delhi Capitals,1254070,AS Yadav,104.54545454545456
103,Delhi Capitals,Mumbai Indians,1254070,PP Shaw,140.0
102,Delhi Capitals,Mumbai Indians,1254070,L Yadav,100.0
105,Delhi Capitals,Mumbai Indians,1254070,S Dhawan,111.90476190476193
106,Delhi Capitals,Mumbai Indians,1254070,SO Hetmyer,187.5
277,Mumbai Indians,Delhi Capitals,1254070,Ishan Kishan,92.85714285714286
278,Mumbai Indians,Delhi Capitals,1254070,JJ Bumrah,100.0
446,Punjab Kings,Sunrisers Hyderabad,1254071,Moises Henriques,105.88235294117648
704,Sunrisers Hyderabad,Punjab Kings,1254071,DA Warner,105.26315789473684
705,Sunrisers Hyderabad,Punjab Kings,1254071,JM Bairstow,112.28070175438596
706,Sunrisers Hyderabad,Punjab Kings,1254071,KS Williamson,85.0
444,Punjab Kings,Sunrisers Hyderabad,1254071,MA Agarwal,88.0
447,Punjab Kings,Sunrisers Hyderabad,1254071,Shahrukh Khan,133.33333333333331
443,Punjab Kings,Sunrisers Hyderabad,1254071,M Ashwin,90.0
445,Punjab Kings,Sunrisers Hyderabad,1254071,Mohammed Shami,100.0
442,Punjab Kings,Sunrisers Hyderabad,1254071,KL Rahul,66.66666666666666
441,Punjab Kings,Sunrisers Hyderabad,1254071,F Allen,70.0
439,Punjab Kings,Sunrisers Hyderabad,1254071,CH Gayle,88.23529411764706
438,Punjab Kings,Sunrisers Hyderabad,1254071,Arshdeep Singh,250.0
440,Punjab Kings,Sunrisers Hyderabad,1254071,DJ Hooda,118.1818181818182
8,Chennai Super Kings,Kolkata Knight Riders,1254072,AS Raut,165.0
9,Chennai Super Kings,Kolkata Knight Riders,1254072,F du Plessis,162.29508196721312
169,Kolkata Knight Riders,Chennai Super Kings,1254072,SP Narine,133.33333333333331
168,Kolkata Knight Riders,Chennai Super Kings,1254072,RA Tripathi,88.88888888888889
166,Kolkata Knight Riders,Chennai Super Kings,1254072,N Rana,91.66666666666666
165,Kolkata Knight Riders,Chennai Super Kings,1254072,M Prasidh Krishna,0.0
170,Kolkata Knight Riders,Chennai Super Kings,1254072,Shubman Gill,0.0
167,Kolkata Knight Riders,Chennai Super Kings,1254072,PJ Cummins,217.6470588235294
164,Kolkata Knight Riders,Chennai Super Kings,1254072,Kamlesh Nagarkoti,0.0
171,Kolkata Knight Riders,Chennai Super Kings,1254072,Varun Chakravarthy,0.0
161,Kolkata Knight Riders,Chennai Super Kings,1254072,AD Russell,271.42857142857144
162,Kolkata Knight Riders,Chennai Super Kings,1254072,EJG Morgan,100.0
163,Kolkata Knight Riders,Chennai Super Kings,1254072,KD Karthik,166.66666666666669
12,Chennai Super Kings,Kolkata Knight Riders,1254072,RA Jadeja,600.0
11,Chennai Super Kings,Kolkata Knight Riders,1254072,MS Dhoni,211.11111111111111
10,Chennai Super Kings,Kolkata Knight Riders,1254072,MM Ali,230.76923076923077
524,Rajasthan Royals,Royal Challengers Bangalore,1254073,R Tewatia,182.6086956521739
518,Rajasthan Royals,Royal Challengers Bangalore,1254073,CH Morris,144.44444444444443
521,Rajasthan Royals,Royal Challengers Bangalore,1254073,JC Buttler,100.0
522,Rajasthan Royals,Royal Challengers Bangalore,1254073,M Vohra,77.77777777777779
523,Rajasthan Royals,Royal Challengers Bangalore,1254073,R Parag,156.25
629,Royal Challengers Bangalore,Rajasthan Royals,1254073,V Kohli,153.19148936170214
628,Royal Challengers Bangalore,Rajasthan Royals,1254073,Devdutt Padikkal,201.85185185185185
519,Rajasthan Royals,Royal Challengers Bangalore,1254073,Chetan Sakariya,0.0
527,Rajasthan Royals,Royal Challengers Bangalore,1254073,SV Samson,122.22222222222224
520,Rajasthan Royals,Royal Challengers Bangalore,1254073,DA Miller,0.0
525,Rajasthan Royals,Royal Challengers Bangalore,1254073,S Dube,165.625
526,Rajasthan Royals,Royal Challengers Bangalore,1254073,S Gopal,175.0
399,Punjab Kings,Mumbai Indians,1254074,CH Gayle,127.77777777777776
317,Mumbai Indians,Punjab Kings,1254074,KH Pandya,100.0
401,Punjab Kings,Mumbai Indians,1254074,MA Agarwal,136.8421052631579
318,Mumbai Indians,Punjab Kings,1254074,Q de Kock,60.0
320,Mumbai Indians,Punjab Kings,1254074,SA Yadav,121.42857142857142
314,Mumbai Indians,Punjab Kings,1254074,HH Pandya,50.0
319,Mumbai Indians,Punjab Kings,1254074,RG Sharma,121.15384615384616
