,battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,dreamll_score
2257,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,V Kohli,31,0,1.0,1.0,33,0,0,38.0
2253,Royal Challengers Bangalore,Kolkata Knight Riders,1136563,CR Woakes,5,0,0.0,1.0,5,0,0,10.0
1201,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,CA Lynn,5,0,0.0,1.0,8,0,0,10.0
1207,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,SP Narine,51,0,5.0,4.0,20,1,0,77.0
1206,Kolkata Knight Riders,Royal Challengers Bangalore,1136563,RV Uthappa,13,0,1.0,0.0,12,0,0,19.0
2085,Rajasthan Royals,Sunrisers Hyderabad,1136564,SV Samson,51,0,0.0,5.0,43,1,0,68.0
2084,Rajasthan Royals,Sunrisers Hyderabad,1136564,S Gopal,21,0,0.0,2.0,20,0,0,27.0
2083,Rajasthan Royals,Sunrisers Hyderabad,1136564,RA Tripathi,17,0,0.0,2.0,15,0,0,23.0
2081,Rajasthan Royals,Sunrisers Hyderabad,1136564,JD Unadkat,1,0,0.0,0.0,2,0,0,5.0
2082,Rajasthan Royals,Sunrisers Hyderabad,1136564,K Gowtham,0,1,0.0,0.0,2,0,0,2.0
2075,Rajasthan Royals,Sunrisers Hyderabad,1136564,AM Rahane,15,0,0.0,2.0,14,0,0,21.0
2076,Rajasthan Royals,Sunrisers Hyderabad,1136564,B Laughlin,1,0,0.0,0.0,3,0,0,5.0
2736,Sunrisers Hyderabad,Rajasthan Royals,1136564,WP Saha,6,0,0.0,1.0,6,0,0,11.0
2735,Sunrisers Hyderabad,Rajasthan Royals,1136564,S Dhawan,85,0,1.0,14.0,59,1,0,113.0
2734,Sunrisers Hyderabad,Rajasthan Royals,1136564,KS Williamson,36,0,1.0,3.0,35,0,0,45.0
2078,Rajasthan Royals,Sunrisers Hyderabad,1136564,DJM Short,5,0,0.0,1.0,5,0,0,10.0
2077,Rajasthan Royals,Sunrisers Hyderabad,1136564,BA Stokes,5,0,0.0,0.0,8,0,0,9.0
2080,Rajasthan Royals,Sunrisers Hyderabad,1136564,JC Buttler,6,0,0.0,0.0,9,0,0,10.0
2079,Rajasthan Royals,Sunrisers Hyderabad,1136564,DS Kulkarni,3,0,0.0,0.0,4,0,0,7.0
77,Chennai Super Kings,Kolkata Knight Riders,1136565,MS Dhoni,28,0,1.0,1.0,30,0,0,35.0
78,Chennai Super Kings,Kolkata Knight Riders,1136565,RA Jadeja,12,0,1.0,0.0,8,0,0,18.0
76,Chennai Super Kings,Kolkata Knight Riders,1136565,DJ Bravo,12,0,0.0,0.0,5,0,0,16.0
79,Chennai Super Kings,Kolkata Knight Riders,1136565,SK Raina,14,0,1.0,0.0,12,0,0,20.0
80,Chennai Super Kings,Kolkata Knight Riders,1136565,SR Watson,42,0,3.0,3.0,19,0,0,55.0
81,Chennai Super Kings,Kolkata Knight Riders,1136565,SW Billings,58,0,5.0,2.0,23,1,0,82.0
947,Kolkata Knight Riders,Chennai Super Kings,1136565,SP Narine,13,0,2.0,0.0,5,0,0,21.0
942,Kolkata Knight Riders,Chennai Super Kings,1136565,CA Lynn,22,0,0.0,4.0,16,0,0,30.0
943,Kolkata Knight Riders,Chennai Super Kings,1136565,KD Karthik,27,0,1.0,2.0,26,0,0,35.0
941,Kolkata Knight Riders,Chennai Super Kings,1136565,AD Russell,89,0,11.0,1.0,36,1,0,124.0
944,Kolkata Knight Riders,Chennai Super Kings,1136565,N Rana,16,0,0.0,2.0,14,0,0,22.0
945,Kolkata Knight Riders,Chennai Super Kings,1136565,RK Singh,2,0,0.0,0.0,4,0,0,6.0
946,Kolkata Knight Riders,Chennai Super Kings,1136565,RV Uthappa,30,0,3.0,2.0,17,0,0,42.0
948,Kolkata Knight Riders,Chennai Super Kings,1136565,TK Curran,3,0,0.0,0.0,5,0,0,7.0
75,Chennai Super Kings,Kolkata Knight Riders,1136565,AT Rayudu,39,0,2.0,3.0,26,0,0,50.0
1860,Rajasthan Royals,Delhi Daredevils,1136566,RA Tripathi,15,0,1.0,0.0,11,0,0,21.0
646,Delhi Daredevils,Rajasthan Royals,1136566,CH Morris,18,0,1.0,2.0,7,0,0,26.0
647,Delhi Daredevils,Rajasthan Royals,1136566,GJ Maxwell,17,0,1.0,2.0,12,0,0,25.0
648,Delhi Daredevils,Rajasthan Royals,1136566,RR Pant,22,0,0.0,3.0,15,0,0,29.0
649,Delhi Daredevils,Rajasthan Royals,1136566,V Shankar,3,0,0.0,0.0,3,0,0,7.0
1856,Rajasthan Royals,Delhi Daredevils,1136566,BA Stokes,16,0,1.0,1.0,12,0,0,23.0
1857,Rajasthan Royals,Delhi Daredevils,1136566,DJM Short,6,0,0.0,1.0,3,0,0,11.0
1858,Rajasthan Royals,Delhi Daredevils,1136566,JC Buttler,31,0,2.0,2.0,19,0,0,41.0
1859,Rajasthan Royals,Delhi Daredevils,1136566,K Gowtham,3,0,0.0,0.0,2,0,0,7.0
1855,Rajasthan Royals,Delhi Daredevils,1136566,AM Rahane,45,0,0.0,5.0,40,0,0,54.0
1861,Rajasthan Royals,Delhi Daredevils,1136566,SV Samson,37,0,2.0,2.0,22,0,0,47.0
2665,Sunrisers Hyderabad,Mumbai Indians,1136567,MK Pandey,11,0,0.0,1.0,8,0,0,16.0
1624,Mumbai Indians,Sunrisers Hyderabad,1136567,RG Sharma,11,0,1.0,1.0,10,0,0,18.0
1623,Mumbai Indians,Sunrisers Hyderabad,1136567,PJ Sangwan,1,0,0.0,0.0,5,0,0,5.0
1621,Mumbai Indians,Sunrisers Hyderabad,1136567,KH Pandya,16,0,0.0,2.0,11,0,0,22.0
1620,Mumbai Indians,Sunrisers Hyderabad,1136567,KA Pollard,28,0,2.0,3.0,23,0,0,39.0
1619,Mumbai Indians,Sunrisers Hyderabad,1136567,JJ Bumrah,5,0,0.0,0.0,5,0,0,9.0
1618,Mumbai Indians,Sunrisers Hyderabad,1136567,Ishan Kishan,13,0,0.0,3.0,9,0,0,20.0
1617,Mumbai Indians,Sunrisers Hyderabad,1136567,E Lewis,30,0,2.0,3.0,18,0,0,41.0
1616,Mumbai Indians,Sunrisers Hyderabad,1136567,BCJ Cutting,9,0,0.0,1.0,9,0,0,14.0
1622,Mumbai Indians,Sunrisers Hyderabad,1136567,M Markande,6,0,0.0,1.0,3,0,0,11.0
2664,Sunrisers Hyderabad,Mumbai Indians,1136567,KS Williamson,6,0,0.0,1.0,4,0,0,11.0
1625,Mumbai Indians,Sunrisers Hyderabad,1136567,SA Yadav,28,0,1.0,2.0,31,0,0,36.0
2669,Sunrisers Hyderabad,Mumbai Indians,1136567,Sandeep Sharma,0,1,0.0,0.0,2,0,0,2.0
2666,Sunrisers Hyderabad,Mumbai Indians,1136567,Rashid Khan,0,1,0.0,0.0,1,0,0,2.0
2667,Sunrisers Hyderabad,Mumbai Indians,1136567,S Dhawan,48,0,0.0,8.0,28,0,0,60.0
2670,Sunrisers Hyderabad,Mumbai Indians,1136567,Shakib Al Hasan,12,0,0.0,1.0,12,0,0,17.0
2671,Sunrisers Hyderabad,Mumbai Indians,1136567,WP Saha,22,0,0.0,3.0,20,0,0,29.0
2672,Sunrisers Hyderabad,Mumbai Indians,1136567,YK Pathan,14,0,0.0,2.0,14,0,0,20.0
2668,Sunrisers Hyderabad,Mumbai Indians,1136567,S Kaul,0,1,0.0,0.0,4,0,0,2.0
2663,Sunrisers Hyderabad,Mumbai Indians,1136567,DJ Hooda,33,0,1.0,1.0,26,0,0,40.0
2662,Sunrisers Hyderabad,Mumbai Indians,1136567,B Stanlake,5,0,0.0,1.0,2,0,0,10.0
2220,Royal Challengers Bangalore,Kings XI Punjab,1136568,AB de Villiers,58,0,4.0,2.0,40,1,0,80.0
864,Kings XI Punjab,Royal Challengers Bangalore,1136568,Mujeeb Ur Rahman,0,1,0.0,0.0,2,0,0,2.0
863,Kings XI Punjab,Royal Challengers Bangalore,1136568,MP Stoinis,12,0,1.0,0.0,9,0,0,18.0
862,Kings XI Punjab,Royal Challengers Bangalore,1136568,MM Sharma,3,0,0.0,0.0,3,0,0,7.0
861,Kings XI Punjab,Royal Challengers Bangalore,1136568,MA Agarwal,15,0,0.0,3.0,11,0,0,22.0
860,Kings XI Punjab,Royal Challengers Bangalore,1136568,KL Rahul,48,0,4.0,2.0,30,0,0,62.0
859,Kings XI Punjab,Royal Challengers Bangalore,1136568,KK Nair,30,0,0.0,3.0,27,0,0,37.0
858,Kings XI Punjab,Royal Challengers Bangalore,1136568,AR Patel,2,0,0.0,0.0,3,0,0,6.0
857,Kings XI Punjab,Royal Challengers Bangalore,1136568,AJ Tye,8,0,0.0,0.0,8,0,0,12.0
856,Kings XI Punjab,Royal Challengers Bangalore,1136568,AJ Finch,0,1,0.0,0.0,1,0,0,2.0
2225,Royal Challengers Bangalore,Kings XI Punjab,1136568,SN Khan,0,1,0.0,0.0,1,0,0,2.0
2224,Royal Challengers Bangalore,Kings XI Punjab,1136568,Q de Kock,47,0,1.0,7.0,34,0,0,60.0
