battingteam,bowlingteam,matchid,batsmanname,0
Chennai Super Kings,Kolkata Knight Riders,1254098,MM Ali,113.79310344827587
Chennai Super Kings,Kolkata Knight Riders,1254098,MS Dhoni,50.0
Chennai Super Kings,Kolkata Knight Riders,1254098,RA Jadeja,275.0
Chennai Super Kings,Kolkata Knight Riders,1254098,SM Curran,100.0
Chennai Super Kings,Kolkata Knight Riders,1254098,SN Thakur,150.0
Chennai Super Kings,Kolkata Knight Riders,1254098,Suresh Raina,171.42857142857142
Chennai Super Kings,Mumbai Indians,1136561,AT Rayudu,115.78947368421053
Chennai Super Kings,Mumbai Indians,1136561,DJ Bravo,229.99999999999997
Chennai Super Kings,Mumbai Indians,1136561,DL Chahar,0.0
Chennai Super Kings,Mumbai Indians,1136561,Harbhajan Singh,150.0
Chennai Super Kings,Mumbai Indians,1136561,Imran Tahir,100.0
Chennai Super Kings,Mumbai Indians,1136561,KM Jadhav,117.3913043478261
Chennai Super Kings,Mumbai Indians,1136561,MA Wood,60.0
Chennai Super Kings,Mumbai Indians,1136561,MS Dhoni,100.0
Chennai Super Kings,Mumbai Indians,1136561,RA Jadeja,92.3076923076923
Chennai Super Kings,Mumbai Indians,1136561,SK Raina,66.66666666666666
Chennai Super Kings,Mumbai Indians,1136561,SR Watson,114.28571428571428
Chennai Super Kings,Mumbai Indians,1136587,AT Rayudu,130.55555555555557
Chennai Super Kings,Mumbai Indians,1136587,DJ Bravo,0.0
Chennai Super Kings,Mumbai Indians,1136587,MS Dhoni,126.08695652173914
Chennai Super Kings,Mumbai Indians,1136587,SK Raina,162.5
Chennai Super Kings,Mumbai Indians,1136587,SR Watson,109.09090909090908
Chennai Super Kings,Mumbai Indians,1136587,SW Billings,60.0
Chennai Super Kings,Mumbai Indians,1175370,AT Rayudu,0.0
Chennai Super Kings,Mumbai Indians,1175370,DJ Bravo,130.0
Chennai Super Kings,Mumbai Indians,1175370,DL Chahar,100.0
Chennai Super Kings,Mumbai Indians,1175370,KM Jadhav,112.5
Chennai Super Kings,Mumbai Indians,1175370,MM Sharma,0.0
Chennai Super Kings,Mumbai Indians,1175370,MS Dhoni,63.63636363636363
Chennai Super Kings,Mumbai Indians,1175370,RA Jadeja,50.0
Chennai Super Kings,Mumbai Indians,1175370,SK Raina,106.25
Chennai Super Kings,Mumbai Indians,1175370,SN Thakur,240.0
Chennai Super Kings,Mumbai Indians,1175370,SR Watson,100.0
Chennai Super Kings,Mumbai Indians,1178419,AT Rayudu,0.0
Chennai Super Kings,Mumbai Indians,1178419,DJ Bravo,117.64705882352942
Chennai Super Kings,Mumbai Indians,1178419,DL Chahar,33.33333333333333
Chennai Super Kings,Mumbai Indians,1178419,DR Shorey,72.72727272727273
Chennai Super Kings,Mumbai Indians,1178419,Harbhajan Singh,33.33333333333333
Chennai Super Kings,Mumbai Indians,1178419,KM Jadhav,54.54545454545454
Chennai Super Kings,Mumbai Indians,1178419,M Vijay,111.42857142857143
Chennai Super Kings,Mumbai Indians,1178419,MJ Santner,114.28571428571428
Chennai Super Kings,Mumbai Indians,1178419,SK Raina,50.0
Chennai Super Kings,Mumbai Indians,1178419,SR Watson,200.0
Chennai Super Kings,Mumbai Indians,1181764,AT Rayudu,118.42105263157893
Chennai Super Kings,Mumbai Indians,1181764,F du Plessis,54.54545454545454
Chennai Super Kings,Mumbai Indians,1181764,M Vijay,100.0
Chennai Super Kings,Mumbai Indians,1181764,MS Dhoni,131.0344827586207
Chennai Super Kings,Mumbai Indians,1181764,SK Raina,85.71428571428571
Chennai Super Kings,Mumbai Indians,1181764,SR Watson,76.92307692307693
Chennai Super Kings,Mumbai Indians,1181768,AT Rayudu,25.0
Chennai Super Kings,Mumbai Indians,1181768,DJ Bravo,100.0
Chennai Super Kings,Mumbai Indians,1181768,F du Plessis,200.0
Chennai Super Kings,Mumbai Indians,1181768,MS Dhoni,25.0
Chennai Super Kings,Mumbai Indians,1181768,RA Jadeja,180.0
Chennai Super Kings,Mumbai Indians,1181768,SK Raina,60.0
Chennai Super Kings,Mumbai Indians,1181768,SN Thakur,100.0
Chennai Super Kings,Mumbai Indians,1181768,SR Watson,135.48387096774192
