,battingteam,bowlingteam,matchid,batsmanname,total_runs,duck,Sixes,Fours,balls,Fifties,hundreds,dreamll_score
337,Mumbai Indians,Royal Challengers Bangalore,1254058,KH Pandya,8,0,0.0,0.0,7,0,0,12.0
334,Mumbai Indians,Royal Challengers Bangalore,1254058,Ishan Kishan,29,0,1.0,2.0,20,0,0,37.0
333,Mumbai Indians,Royal Challengers Bangalore,1254058,HH Pandya,13,0,0.0,2.0,10,0,0,19.0
332,Mumbai Indians,Royal Challengers Bangalore,1254058,CA Lynn,50,0,3.0,4.0,35,1,0,72.0
601,Royal Challengers Bangalore,Mumbai Indians,1254058,Washington Sundar,16,0,0.0,0.0,15,0,0,20.0
600,Royal Challengers Bangalore,Mumbai Indians,1254058,V Kohli,34,0,0.0,4.0,29,0,0,42.0
599,Royal Challengers Bangalore,Mumbai Indians,1254058,S Ahmed,2,0,0.0,0.0,3,0,0,6.0
598,Royal Challengers Bangalore,Mumbai Indians,1254058,Rajat Patidar,9,0,0.0,1.0,8,0,0,14.0
597,Royal Challengers Bangalore,Mumbai Indians,1254058,M Siraj,1,0,0.0,0.0,1,0,0,5.0
596,Royal Challengers Bangalore,Mumbai Indians,1254058,Kyle Jamieson,4,0,0.0,0.0,4,0,0,8.0
595,Royal Challengers Bangalore,Mumbai Indians,1254058,HV Patel,4,0,0.0,0.0,3,0,0,8.0
594,Royal Challengers Bangalore,Mumbai Indians,1254058,GJ Maxwell,41,0,2.0,3.0,29,0,0,52.0
593,Royal Challengers Bangalore,Mumbai Indians,1254058,Dan Christian,1,0,0.0,0.0,3,0,0,5.0
592,Royal Challengers Bangalore,Mumbai Indians,1254058,AB de Villiers,48,0,2.0,4.0,27,0,0,60.0
335,Mumbai Indians,Royal Challengers Bangalore,1254058,JJ Bumrah,1,0,0.0,0.0,2,0,0,5.0
336,Mumbai Indians,Royal Challengers Bangalore,1254058,KA Pollard,7,0,0.0,1.0,9,0,0,12.0
339,Mumbai Indians,Royal Challengers Bangalore,1254058,RG Sharma,19,0,1.0,1.0,15,0,0,26.0
340,Mumbai Indians,Royal Challengers Bangalore,1254058,SA Yadav,32,0,1.0,4.0,23,0,0,42.0
338,Mumbai Indians,Royal Challengers Bangalore,1254058,Marco Jansen,0,1,0.0,0.0,2,0,0,2.0
83,Delhi Capitals,Chennai Super Kings,1254059,MP Stoinis,15,0,0.0,3.0,9,0,0,22.0
84,Delhi Capitals,Chennai Super Kings,1254059,PP Shaw,72,0,3.0,9.0,38,1,0,99.0
85,Delhi Capitals,Chennai Super Kings,1254059,RR Pant,16,0,0.0,2.0,13,0,0,22.0
86,Delhi Capitals,Chennai Super Kings,1254059,S Dhawan,87,0,2.0,10.0,54,1,0,113.0
7,Chennai Super Kings,Delhi Capitals,1254059,Suresh Raina,55,0,4.0,3.0,36,1,0,78.0
6,Chennai Super Kings,Delhi Capitals,1254059,SM Curran,35,0,2.0,4.0,16,0,0,47.0
5,Chennai Super Kings,Delhi Capitals,1254059,RA Jadeja,27,0,0.0,3.0,17,0,0,34.0
4,Chennai Super Kings,Delhi Capitals,1254059,MS Dhoni,0,1,0.0,0.0,2,0,0,2.0
3,Chennai Super Kings,Delhi Capitals,1254059,MM Ali,36,0,2.0,4.0,24,0,0,48.0
2,Chennai Super Kings,Delhi Capitals,1254059,F du Plessis,0,1,0.0,0.0,3,0,0,2.0
1,Chennai Super Kings,Delhi Capitals,1254059,AT Rayudu,28,0,1.0,2.0,16,0,0,36.0
0,Chennai Super Kings,Delhi Capitals,1254059,AS Raut,7,0,0.0,1.0,9,0,0,12.0
250,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,Shakib Al Hasan,4,0,0.0,0.0,6,0,0,8.0
682,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,WP Saha,7,0,1.0,0.0,6,0,0,13.0
249,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,RA Tripathi,53,0,2.0,5.0,29,1,0,74.0
676,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,A Samad,19,0,2.0,0.0,8,0,0,27.0
677,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,DA Warner,3,0,0.0,0.0,4,0,0,7.0
678,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,JM Bairstow,56,0,3.0,5.0,41,1,0,79.0
679,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,M Nabi,17,0,0.0,2.0,11,0,0,23.0
680,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,MK Pandey,63,0,3.0,2.0,46,1,0,83.0
681,Sunrisers Hyderabad,Kolkata Knight Riders,1254060,V Shankar,12,0,1.0,0.0,7,0,0,18.0
251,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,Shubman Gill,15,0,1.0,1.0,13,0,0,22.0
248,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,N Rana,80,0,4.0,9.0,56,1,0,109.0
247,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,KD Karthik,23,0,1.0,2.0,9,0,0,31.0
246,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,EJG Morgan,2,0,0.0,0.0,3,0,0,6.0
245,Kolkata Knight Riders,Sunrisers Hyderabad,1254060,AD Russell,10,0,0.0,1.0,6,0,0,15.0
412,Punjab Kings,Rajasthan Royals,1254061,Jhye Richardson,0,1,0.0,0.0,2,0,0,2.0
413,Punjab Kings,Rajasthan Royals,1254061,KL Rahul,94,0,5.0,7.0,50,1,0,123.0
410,Punjab Kings,Rajasthan Royals,1254061,CH Gayle,41,0,2.0,4.0,29,0,0,53.0
411,Punjab Kings,Rajasthan Royals,1254061,DJ Hooda,65,0,6.0,3.0,27,1,0,92.0
414,Punjab Kings,Rajasthan Royals,1254061,MA Agarwal,15,0,0.0,2.0,10,0,0,21.0
501,Rajasthan Royals,Punjab Kings,1254061,CH Morris,2,0,0.0,0.0,4,0,0,6.0
416,Punjab Kings,Rajasthan Royals,1254061,Shahrukh Khan,6,0,0.0,1.0,4,0,0,11.0
415,Punjab Kings,Rajasthan Royals,1254061,N Pooran,0,1,0.0,0.0,1,0,0,2.0
506,Rajasthan Royals,Punjab Kings,1254061,S Dube,23,0,0.0,3.0,15,0,0,30.0
505,Rajasthan Royals,Punjab Kings,1254061,R Tewatia,3,0,0.0,0.0,4,0,0,7.0
504,Rajasthan Royals,Punjab Kings,1254061,R Parag,26,0,3.0,1.0,12,0,0,37.0
507,Rajasthan Royals,Punjab Kings,1254061,SV Samson,124,0,7.0,12.0,64,1,1,178.0
503,Rajasthan Royals,Punjab Kings,1254061,M Vohra,13,0,1.0,1.0,9,0,0,20.0
502,Rajasthan Royals,Punjab Kings,1254061,JC Buttler,26,0,0.0,5.0,13,0,0,35.0
500,Rajasthan Royals,Punjab Kings,1254061,BA Stokes,0,1,0.0,0.0,3,0,0,2.0
198,Kolkata Knight Riders,Mumbai Indians,1254062,Harbhajan Singh,2,0,0.0,0.0,2,0,0,6.0
299,Mumbai Indians,Kolkata Knight Riders,1254062,KA Pollard,5,0,0.0,1.0,8,0,0,10.0
200,Kolkata Knight Riders,Mumbai Indians,1254062,N Rana,64,0,2.0,7.0,48,1,0,87.0
201,Kolkata Knight Riders,Mumbai Indians,1254062,PJ Cummins,0,1,0.0,0.0,1,0,0,2.0
202,Kolkata Knight Riders,Mumbai Indians,1254062,RA Tripathi,5,0,0.0,0.0,5,0,0,9.0
203,Kolkata Knight Riders,Mumbai Indians,1254062,Shakib Al Hasan,13,0,0.0,2.0,9,0,0,19.0
